X,Y,Name,description
0.035068,53.731608,Withernsea,
-0.282458672481937,54.207369,Filey,
-0.355913676826645,54.245086,Cayton Bay - Bunkers,
-0.363396454013397,54.247006,Cayton Bay - Pumphouse,
-0.364842851213325,54.252144,Cayton Bay - Point,
-0.394886688036223,54.279147,Scarborough - South Bay,
-0.398289886830014,54.28973,Scarborough - North Bay,
-0.53017296592293,54.430051,Robin Hood's Bay,
-0.616398811301465,54.491733,Whitby,
-0.669306550300405,54.503488,Sandsend Bay - Beach,
-0.672516,54.507872,Sandsend Bay - Caves,
-0.73943949734003,54.530114,Runswick Bay,
