X,Y,Name,description
-5.64917318258428,50.042378,Porthcurno,
-5.4435929006366,50.112232,Perranuthanoe,
-5.39105404160401,50.102989,Praa Sands,
-5.32154512475674,50.081251,Porthleven,
-5.16190358613886,50.004962,Kennack Sands,
-5.069286,50.140807,Falmouth,
-4.779861,50.288763,Pentewan,
-4.69584606567911,50.346431,Polkerris,
-4.38572926699007,50.362873,Seaton,
-4.342381,50.36014,Portwrinkle,
-4.25733070112304,50.345479,Whitsand Bay,
-4.1149270316829,50.315887,Bovisand Reef,
-4.085477,50.316132,Wembury,
-3.89971700241495,50.286855,Challaborough,
-3.8884740796228,50.278665,Bantham,
