X,Y,Name,description
-2.51640997569548,49.507945,Fort Le Marchant - Guernsey,
-2.52976005884381,49.503854,L'Ancresse Bay - Guernsey,
-2.580111,49.490276,Portinfer - Guernsey,
-2.608573,49.469643,Vazon Bay - Beach - Guernsey,
-2.62169,49.469275,Vazon Bay - Reef - Guernsey,
-2.614684,49.468376,Vazon Bay - Centres - Guernsey,
-2.65079561391501,49.46271,Perelle Bay - Right - Guernsey,
-2.65012112538064,49.463578,Perelle Bay - Left - Guernsey,
-2.650411,49.468089,Perelle Bay - Dom Hue - Guernsey,
-2.20161451365369,49.247543,Greve de Lecq - Jersey,
-2.228806,49.257029,Plemont Bay - Jersey,
-2.25073274823279,49.240745,Stinky Bay - Jersey,
-2.23807036674769,49.230715,Secrets - Jersey,
-2.22453765409131,49.204447,Watersplash - Jersey,
-2.227087,49.197943,Les Brayes - Jersey,
-2.23545336194461,49.197891,La Rocco - Jersey,
-2.23905289389435,49.18475,Petite Port - Jersey,
-2.19584448922899,49.18423,St Brelades - Jersey,
