X,Y,Name,description
-1.51254614398849,50.668335,Freshwater - I.O.W,
-1.47650026997727,50.661133,Compton - I.O.W,
-1.13538987419464,50.659256,Whitecliff Bay - I.O.W,
-0.980253628249244,50.779813,Hayling Island,
-0.909159,50.774379,The Witterings,
-0.533055,50.801834,Littlehampton,
-0.22840293339371,50.82752,Shoreham,
-0.152403879669151,50.820143,Brighton - West Pier,
-0.092261765882697,50.811408,Brighton - Marina,
-0.135982686052813,50.818535,Brighton - Wedge,
0.291028568212397,50.763855,Eastbourne,
1.4471359787939,51.379918,Joss Bay,
